City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,agat village,13.3886,144.6585,27.52,90,75,5.14,GU,1682435253
1,khammam,17.25,80.15,29.47,58,93,2.88,IN,1682435253
2,hadibu,12.65,54.0333,28.69,67,93,0.53,YE,1682435254
3,udachny,66.4167,112.4,-7.1,94,100,4.78,RU,1682435254
4,adamstown,-25.066,-130.1015,25.05,86,2,5.15,PN,1682435254
5,yellowknife,62.456,-114.3525,0.87,80,100,5.81,CA,1682435255
6,tarawa,1.419,172.984,27.05,89,75,1.03,KI,1682435255
7,cuyo,10.8525,121.0086,28.92,77,31,8.6,PH,1682435255
8,olonkinbyen,70.9221,-8.7187,-3.42,73,94,5.95,SJ,1682435255
9,waitangi,-43.9535,-176.5597,14.9,82,66,6.26,NZ,1682435256
10,jamestown,42.097,-79.2353,7.53,53,75,5.66,US,1682435256
11,edinburgh of the seven seas,-37.0676,-12.3116,15.73,62,73,11.57,SH,1682435256
12,crane,31.3974,-102.3501,18.08,58,34,6.76,US,1682435256
13,punta arenas,-53.15,-70.9167,7.06,72,40,11.32,CL,1682435191
14,lucapa,-8.4192,20.7447,27.37,64,75,1.33,AO,1682435256
15,labasa,-16.4167,179.3833,23.04,87,25,2.12,FJ,1682435257
16,georgetown,5.4112,100.3354,28.96,89,40,1.03,MY,1682435202
17,senanga,-16.1167,23.2667,32.37,23,1,2.94,ZM,1682435257
18,tara,56.8944,74.371,11.12,68,81,3.75,RU,1682435257
19,lebu,-37.6167,-73.65,14.02,70,100,0.81,CL,1682435257
20,grytviken,-54.2811,-36.5092,3.09,99,100,3.19,GS,1682435257
21,umm kaddadah,13.6017,26.6876,39.7,11,86,5.64,SD,1682435257
22,callao,-12.0667,-77.15,25.95,78,100,5.66,PE,1682435257
23,college,64.8569,-147.8028,-9.03,53,40,4.12,US,1682435257
24,hawaiian paradise park,19.5933,-154.9731,21.13,87,40,2.57,US,1682435258
